ACNO|BARCODE|CALLNO1|CALLNO2|CALLNO3|TITLE|STATUS|PUBER|AUTHOR_NAME|GMD|PM|BOOK_LAN|SUBJECT
2636.01| | | | | 聖母峰之死| B| 大家| Jon Krakauer| 2| am| chi| 
3538.01| | | | | 少年維特的煩惱| A| 商務| | 3| am| chi| 
P00128| | | | | 和媽媽一起度過的 900 天旅行| W| 漢宇國際| 王一民, 俞賢民| H| am| chi| 輔導
E060441| | | | | Shakespeare in Love| A| Miramax| Shakespeare| E| am| eng| 
2513.01| | | | | 西遊記 ( 五 ) - 歷劫成聖| A| 好讀| 吳承恩| 2| am| chi| 
2666.01| | | | | 我就是忍不住笑了| A| 九州| 侯文詠| 2| am| chi| 中文
2463.01| | | | | 笑林廣記| A| 文國| | 2| am| chi| 
E080267| | | | | Gangsters| A| Usborne| Henry Brook| E| am| eng| 
2682.01| | | | | 傾斜的星球| A| | 麥德琳| 2| am| chi| 
ESN0028| | | | | 1000 Places to See before You Die - Collection 2| A| | | E| gm| eng| Language ( DVD )
3554.01| | | | | 沉睡的森林| A| 獨步文化| 東野圭吾| 3| am| chi| 
5327.01| | | | | 文化研究與文化教育| W| 進一步| | 5| am| chi| 
ESN0065| | | | | The Wizard of Oz| W| | | E| gm| eng| Language ( DVD )
E080202| | | | | Martial Arts for Fun| A| Compass Point Books| Kevin Carter| E| am| eng| 
ESN0281| | | | | Jurassic World (侏羅紀世界)| A| Universal| | E| gm| eng| Language ( DVD )
TRC0245| | | | | 改革高中及高等教育學制 - 對未來的投資| W| | | O| am| chi| Others
ESN0060| | | | | James and the Giant Peach 飛天巨桃歷險記| A| | | E| gm| eng| Language ( DVD )
5561.01| | | | | 原來生命習題還能這麼解？| A| 字畝文化|  人生學校| B| am| chi| 
ESN0271| | | | | THE WALK | A| SONY| | E| gm| ENG| Language ( DVD )
1625.01| | | | | 古文名篇圖示導讀| A| 洪波| | 1| am| chi| 
2412.01| | | | | The Q-Files| A| 突破| 梁科慶, 王心靈, 吳蔚芹| 2| am| chi| 
5087.01| | | | | 如何理財 - 現代家庭和個人財務策劃| W| | 曾慶華| 5| am| chi| 
4498.01| | | | | 青年與學問| A| 三民| 唐君毅| 4| am| chi| 
E080200| | | | | Gymnastics for Fun| A| Compass Point Books| Beth Gruber| E| am| eng| 
E100024| | | | | FIRE| A| Longman| SYLVIA CHALKER| E| am| eng| 
3541.01| | | | | 十三號房| A| 和平圖書| | 3| am| chi| 
1545.01| | | | | 讓人懷念的日文歌曲| A| 中國水利水電| | 1| am| chi| 
5382.01| | | | | 一九八四| A| 人民文學| George Orwell| 5| am| chi| 
ESP0086| | | | | Gladiator| A| Penguin| | E| am| eng| Language
P00051| | | | | 處理衝突| A| 突破| 何玉燕| H| am| chi| 輔導
5285.01| | | | | 中國傳統文化十五講| W| 五南| 龔鵬程| 5| am| chi| 
ESP0198| | | | | The Distortion of Facts in the Digital Age| A| Rosen| Larry Gerber| E| am| eng| Language
E060469| | | | | The Doll's House and Other Stories| A| Penguin| | E| am| eng| 
ESN0242| | | | | Marley & Me ( 馬利與我 )| A| | | E| gm| eng| Language ( DVD )
E060192| | | | | Reflex| W| OUP| Dick Francis| E| am| eng| 
E080080| | | | | The Case of the Missing Gold| A| Simon Spotlight/Nickelodeon| David Lewman| E| am| eng| 
ESP0228| | | | | Population Growth| A| National Geographic Learning| Andrew J. Milson| E| am| eng| Language
P00048| | | | | 影響子女一生的一句話| A| 黎明文化事業股份| | H| am| chi| 輔導
5055.01| | | | | 中國中學生必讀文學名著導讀| W| 智能教育| | 5| am| chi| 
5305.01| | | | | 鳶尾盛開 - 文學評論與作家印象| W| 聯合文學| 張瑞芬| 5| am| chi| 
ESN0134| | | | | Ocean Odyssey| A| | | E| gm| eng| Language ( DVD )
ESN0259| | | | | Treasure Island | A| | | E| gm| eng| Language ( DVD )
2573.01| | | | | 佐賀的超級阿嬤| A| 先覺| 島田洋七| 2| am| chi| 
5250.01| | | | | 世故與天真| W| 三聯| 陳雲| 5| am| chi| 
E060383| | | | | The X Files   7 - Fear| W| Harper Trophy| Les Martin| E| am| eng| 
ESP0182| | | | | Listen Up : Knowing When and When Not  to Speak| A| Rosen| Greg Roza| E| am| eng| Language
E100289| | | | | Red Sky In The Morning| A| Heinemann| Elizabeth Laird| E| am| eng| 
1535.01| | | | | 三國演義 ( 四 ) - 三足鼎立| A| 好讀| 羅貫中| 1| am| chi| 
E060548| | | | | How I Got My Shrunken Head| A| Scholastic| | E| am| eng| 
5406.01| | | | | 思考的藝術 : 52個非受迫性思考錯誤| L| 商周| Rolf Dobelli| 5| am| chi| 
4538.01| | | | | 在荷蘭過日子| W| 龍門書局| 丘彥明| 4| am| chi| 
ESP0213| | | | | Globalization| A| National Geographic Learning| Andrew J. Milson| E| am| eng| Language
4561.01| | | | | 不一樣的故事 - 阿濃愛的故事32 篇| A| 突破| 阿濃| 4| am| chi| 
E080224| | | | | And Then There Were None| A| Harper Collins| Agatha Christie| E| am| eng| 
1494.01| | | | | 阿濃與年輕人的真情對話| L| 突破| 阿濃| 1| am| chi| 
2474.01| | | | | 等待一朵花的名字| W| 聯合文學| | 2| am| chi| 
2430.01| | | | | 邊城| A| 新潮社| 沈從文| 2| am| chi| 
ESN0136| | | | | A History of Christianity| A| | | E| gm| eng| Language ( DVD )
5390.01| | | | | 哲學的教室 2 : 讓人生更淡定的15堂課| A| 臺灣東販| 小川仁志| 5| am| chi| 
ESP0078| | | | | Boy| A| Puffin| Roald Dahl| E| am| eng| Language
E060459| | | | | Dr. Jekyll and Mr. Hyde| A| Penguin| | E| am| eng| 
2633.01| | | | | 回到秦朝大冒險 : 穿衣吃飯，全部從頭學| A| 時報| 張述| 2| am| chi| 
E100535| | | | | Out of This World| A| Kingfisher| | E| am| eng| 
ESN0023| | | | | Albert Einstein| A| | | E| gm| eng| Language ( DVD )
3528.01| | | | | 水滸傳 ( 四 ) - 煞星縱橫| A| 好讀| 施耐庵| 3| am| chi| 
E100069| | | | | The Glory Boys| A| Collins| Gerald Seymour| E| am| eng| 
3512.01| | | | | 香港人‧不高興| W| 次文化堂| 吳志森| 3| am| chi| 
2326.01| | | | | 小王子| A| 志文| | 2| am| chi| 
E060322| | | | | The Canterville Ghost and Other Stories| A| Longman| Oscar Wilde| E| am| eng| 
E080107| | | | | Freak The Mighty| A| Scholastic| Rodman Phibrick| E| am| eng| 
E100050| | | | | Six Great Scientists| A| Macmillan| Rosemary Border| E| am| eng| 
1419.01| | | | | 鬼谷子兵法| W| 漢宇國際| | 1| am| chi| 
2429.01| | | | | 機器人咬人 : 專家教你戰勝機器人的保命技巧| A| 木馬文化| Daniel H. Wilson| 2| am| chi| 
4628.01| | | | | 智者與仁者的交會| A| 八旗文化| 托爾斯泰等| 4| am| chi| 
5500.01| | | | | 一一風荷舉| A| 作家| 張曉風| 5| am| chi| 
4584.01| | | | | 美言一百| A| 突破| 阿濃| 4| am| chi| 
